Category,Item Name,Description,Price,Keywords
Starters,Beef Meatballs,,250,"beef meatballs, homemade meatballs, starter meatballs, Mauritius starters, grilled meatballs"
Starters,Beef Sausage,,250,"beef sausage, grilled sausage Mauritius, sausage starter, flame-grilled sausage"
Starters,Biltong,Beef Jerky,250,"biltong Mauritius, South African biltong, dried meat snack, beef biltong"
Starters,Buffalo Wings,,250,"buffalo wings, chicken wings Mauritius, spicy wings, crispy wings, grilled wings"
Starters,Corn On The Cob,Veg,200,"corn on the cob, grilled corn, vegetarian starters, buttered corn"
Starters,Crispy Chicken Strips,,250,"chicken strips, crispy chicken, fried chicken Mauritius, chicken starters"
Starters,Crispy Egg Plant,Veg,200,"crispy eggplant, vegetarian starter Mauritius, fried aubergine"
Starters,Onion Rings,Veg,200,"onion rings, fried onion rings, crispy starters, snack food Mauritius"
Starters,Samosas,Veg Only,200,"samosas, veg samosas, fried samosas Mauritius, Indian snacks"
Starters,Greek Salad,Small,260,"greek salad Mauritius, fresh salad, vegetarian salad, starter salad"
Starters,Greek Salad,Large,400,"greek salad large, fresh salad Mauritius, healthy salad, family salad"
Out Of The Sea,Battered Fish,With Salad And Chips Or Mashed Potato,850,"battered fish, fish and chips Mauritius, fried fish, seafood takeaway"
Out Of The Sea,Crispy Calamari,With Salad And Chips Or Mashed Potato,850,"calamari Mauritius, crispy calamari, fried calamari, seafood starter"
Out Of The Sea,Crispy Prawns,With Salad And Chips Or Mashed Potato,850,"prawns Mauritius, crispy prawns, fried prawns, seafood platter prawns"
Out Of The Sea,Grilled Fish,With Salad And Chips Or Mashed Potato,900,"grilled fish Mauritius, fresh fish grill, seafood dinner Mauritius"
Out Of The Sea,Garlic Butter,Add a Sauce,50,"seafood sauces, garlic butter sauce, tartar sauce, dipping sauces"
Out Of The Sea,Mayo,Add a Sauce,50,"seafood sauces, garlic butter sauce, tartar sauce, dipping sauces"
Out Of The Sea,Mustard,Add a Sauce,50,"seafood sauces, garlic butter sauce, tartar sauce, dipping sauces"
Out Of The Sea,Sweet Chilli,Add a Sauce,50,"seafood sauces, garlic butter sauce, tartar sauce, dipping sauces"
Out Of The Sea,Tartar,Add a Sauce,50,"seafood sauces, garlic butter sauce, tartar sauce, dipping sauces"
For The Kids Under 10,Chicken Nuggets and Chips,,200,"kids nuggets, chicken nuggets, kids meal Mauritius"
For The Kids Under 10,Fish and Chips,,250,"kids fish and chips, fried fish kids meal"
For The Kids Under 10,Meatballs and Chips,,250,"kids meatballs, meatballs Mauritius, children menu"
For The Kids Under 10,Simple Burger and Chips,,220,"kids burger, small burger Mauritius, kids meal"
Extras,Mashed Potato,Extras,120,"mashed potato, sides Mauritius, kids side dishes"
Extras,Small Mixed Salad,Extras,125,"mixed salad small, kids salads, side salad Mauritius"
From our Grill,Beef Steak Fillet 200g,Served with Mashed Potato or Chips with Salad,1250,"beef fillet Mauritius, fillet steak, grilled steak, premium beef, flame-grilled steak"
From our Grill,Beef Steak Fillet 300g,Served with Mashed Potato or Chips with Salad,1725,"ribeye steak, ribeye Mauritius, juicy steak, grilled ribeye"
From our Grill,Beef Steak Fillet 400g,Served with Mashed Potato or Chips with Salad,2200,"sirloin steak, sirloin Mauritius, grilled beef steak"
From our Grill,Beef Steak Ribeye 250g,Served with Mashed Potato or Chips with Salad,1250,"large steaks Mauritius, custom steak sizes, premium grill Mauritius"
From our Grill,Beef Steak Ribeye 400g,Served with Mashed Potato or Chips with Salad,1800,"large steaks Mauritius, custom steak sizes, premium grill Mauritius"
From our Grill,Beef Steak Sirloin 250g,Served with Mashed Potato or Chips with Salad,1050,"large steaks Mauritius, custom steak sizes, premium grill Mauritius"
From our Grill,Beef Steak Sirloin 400g,Served with Mashed Potato or Chips with Salad,1500,"large steaks Mauritius, custom steak sizes, premium grill Mauritius"
